일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2021/12/17,"76,800","78,000","76,800","78,000",▲,"200","+0.26","11,802,494","914,987","0","-733,323","-907,696","0","-257,019","757,837","51.78"
2021/12/16,"78,500","78,500","77,400","77,800",▲,"200","+0.26","11,996,128","934,244","0.13","-442,445","-261,746","-105,777","571,543","822,030","51.78"
2021/12/15,"76,400","77,600","76,300","77,600",▲,"600","+0.78","9,584,939","738,592","0.14","-1,118,059","-654,764","1,095,947","1,946,258","1,706,254","51.79"
2021/12/14,"76,500","77,200","76,200","77,000",▲,"200","+0.26","10,976,660","841,447","0.14","198,293","-1,487,295","1,005,909","804,186","-132,070","51.77"
2021/12/13,"77,200","78,300","76,500","76,800",▼,"-100","-0.13","15,038,750","1,163,285","0.13","-181,359","184,966","-151,301","-1,388,477","-606,534","51.75"
2021/12/10,"77,400","77,600","76,800","76,900",▼,"-1,300","-1.66","9,155,219","705,966","0.13","1,797,829","-1,071,153","-728,679","-505,955","-1,714,088","51.75"
2021/12/09,"77,400","78,200","77,000","78,200",▲,"800","+1.03","21,604,528","1,681,184","0.14","-1,671,678","-491,078","2,768,853","2,796,574","3,486,578","51.77"
2021/12/08,"78,300","78,600","77,100","77,400", ,"0","0","21,558,340","1,662,979","0.14","-2,524,520","2,586,682","703,379","-941,476","48,232","51.72"
2021/12/07,"76,100","77,700","75,600","77,400",▲,"1,100","+1.44","19,232,453","1,477,888","0.14","-2,997,907","-547,244","4,216,958","3,518,986","123,462","51.71"
2021/12/06,"75,100","76,700","74,900","76,300",▲,"700","+0.93","16,391,250","1,245,309","0.14","-3,062,604","576,498","2,508,191","2,146,417","2,070,776","51.64"
2021/12/03,"75,600","76,000","74,100","75,600",▼,"-200","-0.26","18,330,240","1,375,861","0.15","133,267","-157,689","-630,400","467,310","-532,651","51.60"
2021/12/02,"73,900","75,800","73,800","75,800",▲,"1,400","+1.88","23,652,940","1,778,785","0.15","-6,603,764","-164,462","6,327,924","5,789,997","5,214,948","51.61"
2021/12/01,"72,000","74,800","71,600","74,400",▲,"3,100","+4.35","21,954,856","1,610,885","0.15","-6,250,521","415,580","5,498,391","5,601,567","3,706,678","51.50"
2021/11/30,"73,200","73,900","70,500","71,300",▼,"-1,000","-1.38","30,364,841","2,183,678","0.15","1,834,720","-2,841,806","1,600,552","370,200","939,616","51.41"
2021/11/29,"71,700","73,000","71,400","72,300", ,"0","0","16,682,559","1,206,606","0.15","-2,395,401","3,021,851","-494,165","-566,353","-525,529","51.38"
2021/11/26,"73,500","74,100","72,000","72,300",▼,"-1,400","-1.90","13,002,242","944,378","0.15","1,825,155","-1,070,320","-1,157,622","-560,900","-1,313,864","51.39"
2021/11/25,"75,100","75,100","73,600","73,700",▼,"-1,100","-1.47","12,559,258","929,571","0.15","694,786","-179,371","-353,300","-143,417","-704,752","51.41"
2021/11/24,"76,000","76,200","74,100","74,800",▼,"-500","-0.66","15,652,305","1,174,196","0.15","701,745","-2,258,726","1,484,318","1,421,283","-596,182","51.41"
