일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2021/12/17,"107,000","109,500","106,500","109,500",▲,"2,000","+1.86","60,487","6,576","0","-16,202","6,443","0","7,348","8,805","25.45"
2021/12/16,"109,500","109,500","107,000","107,500", ,"0","0","45,031","4,858","0.82","956","13,405","-23,661","-10,182","-12,948","25.45"
2021/12/15,"107,000","108,000","106,500","107,500",▲,"500","+0.47","23,210","2,496","0.81","-4,089","1,368","-915","5,065","-1,671","25.54"
2021/12/14,"106,500","109,000","106,500","107,000",▼,"-500","-0.47","64,977","6,974","0.83","4,777","-20,135","15,033","-1,107","2,477","25.54"
2021/12/13,"107,000","109,500","107,000","107,500",▲,"1,000","+0.94","52,503","5,695","0.83","-13,963","7,746","7,576","695","8,305","25.48"
2021/12/10,"108,000","108,500","106,500","106,500",▼,"-1,500","-1.39","28,979","3,105","0.85","2,080","-6,921","8,941","-798","-1,877","25.46"
2021/12/09,"108,500","109,000","106,500","108,000",▲,"500","+0.47","62,923","6,788","0.86","-3,385","7,495","6,090","970","1,767","25.42"
2021/12/08,"108,000","109,500","107,500","107,500",▼,"-500","-0.46","49,085","5,329","0.85","-7,038","5,396","-4,363","1,143","-591","25.40"
2021/12/07,"107,500","108,500","106,500","108,000",▲,"500","+0.47","46,518","5,008","0.87","10,363","296","-26,729","-5,199","-10,394","25.41"
2021/12/06,"105,500","108,500","104,000","107,500",▲,"2,000","+1.90","77,250","8,276","0.89","-40,876","5,377","36,004","26,747","17,436","25.52"
2021/12/03,"102,500","106,000","102,000","105,500",▲,"2,000","+1.93","65,729","6,890","0.92","-21,284","13,087","7,616","669","3,073","25.38"
2021/12/02,"98,100","104,000","98,100","103,500",▲,"3,900","+3.92","75,890","7,705","0.94","-38,201","11,298","13,384","10,192","26,511","25.35"
2021/12/01,"97,000","99,800","96,600","99,600",▲,"2,100","+2.15","79,903","7,875","0.91","-18,847","4,984","8,628","8,973","9,911","25.30"
2021/11/30,"102,500","103,000","96,000","97,500",▼,"-5,000","-4.88","169,524","16,764","0.93","62,687","-27,749","-59,027","-43,107","-47,586","25.27"
2021/11/29,"100,000","104,000","100,000","102,500",▼,"-500","-0.49","78,470","8,007","0.95","-21,785","9,951","10,834","1,718","-192","25.49"
2021/11/26,"104,500","106,000","102,000","103,000",▼,"-2,500","-2.37","77,033","7,991","0.96","14,505","5,517","-26,186","-15,546","-25,613","25.45"
2021/11/25,"105,000","106,500","104,000","105,500",▲,"500","+0.48","38,215","4,026","0.94","-7,183","3,216","10,319","1,666","-3,350","25.55"
2021/11/24,"107,000","107,000","105,000","105,000",▼,"-2,500","-2.33","62,724","6,620","0.93","26,965","-8,031","-26,006","-17,199","-20,042","25.51"
2021/11/23,"107,500","107,500","105,500","107,500",▼,"-1,500","-1.38","57,672","6,143","0.94","11,818","-13,417","-1,065","1,528","-8,687","25.61"
2021/11/22,"106,000","109,000","105,000","109,000",▲,"3,500","+3.32","89,564","9,563","0.93","-13,426","-10,878","24,865","23,544","24,075","25.61"
2021/11/19,"105,500","107,000","104,500","105,500",▼,"-500","-0.47","55,358","5,825","0.91","27,078","-28,632","-11,403","1,117","-7,638","25.52"
2021/11/18,"107,500","108,000","105,500","106,000",▼,"-2,000","-1.85","53,122","5,656","0.90","32,154","-29,383","-6,150","-271","-2,756","25.56"
2021/11/17,"110,500","111,500","107,500","108,000",▼,"-2,500","-2.26","64,529","6,993","0.88","15,117","-16,839","-15,838","6,523","-3,122","25.59"
2021/11/16,"110,500","112,000","110,000","110,500",▼,"-1,500","-1.34","46,679","5,170","0.92","8,317","-5,495","4,692","5,243","-4,204","25.65"
2021/11/15,"110,000","113,500","109,000","112,000",▲,"2,500","+2.28","79,046","8,855","0.92","-44,254","23,924","21,113","19,486","24,343","25.63"
2021/11/12,"106,000","109,500","106,000","109,500",▲,"3,000","+2.82","48,683","5,263","0.92","-6,542","-714","2,831","3,386","6,812","25.55"
2021/11/11,"107,000","107,000","105,000","106,500", ,"0","0","37,299","3,954","0.91","1,257","1,704","-3,199","-2,089","250","25.54"
2021/11/10,"111,000","111,000","106,500","106,500",▼,"-4,000","-3.62","76,008","8,210","0.93","22,190","-1,376","-17,151","-456","-31,361","25.55"
2021/11/09,"107,000","112,000","107,000","110,500",▲,"3,000","+2.79","136,912","15,076","0.93","-44,816","-564","43,081","35,100","12,903","25.61"
2021/11/08,"105,500","108,500","104,500","107,500",▲,"1,500","+1.42","61,007","6,476","0.94","-1,101","-16,840","18,858","19,705","-1,636","25.45"
2021/11/05,"107,500","108,500","105,000","106,000",▼,"-1,000","-0.93","47,299","5,019","0.94","122","-1,377","1,634","9,141","-14,635","25.38"
2021/11/04,"107,500","109,000","106,500","107,000",▲,"1,500","+1.42","83,760","9,051","0.93","-27,279","-1,908","22,798","17,042","7,013","25.37"
2021/11/03,"107,000","107,000","105,500","105,500",▼,"-1,000","-0.94","45,734","4,848","0.94","4,652","-9,699","5,285","8,627","-11,406","25.29"
2021/11/02,"105,000","108,000","105,000","106,500",▲,"1,500","+1.43","62,733","6,706","0.95","-11,517","10,656","1,155","-1,502","1,636","25.27"
2021/11/01,"105,500","107,000","104,500","105,000", ,"0","0","40,091","4,222","0.96","-2,394","-6,527","8,461","11,186","4,196","25.26"
2021/10/29,"107,500","108,000","104,000","105,000",▼,"-2,500","-2.33","88,646","9,333","0.96","14,716","-18,772","5,678","10,471","3,081","25.23"
2021/10/28,"108,500","109,000","106,500","107,500",▼,"-2,000","-1.83","70,537","7,590","0.96","16,531","-4,744","-9,842","-2,782","-21,983","25.21"
2021/10/27,"109,500","111,500","108,500","109,500", ,"0","0","81,142","8,912","0.96","-3,737","-11,521","15,229","15,758","2,317","25.24"
2021/10/26,"108,500","110,000","108,000","109,500",▲,"1,500","+1.39","51,038","5,566","0.96","-3,517","-5,371","9,755","4,420","-204","25.19"
2021/10/25,"107,000","109,000","106,000","108,000", ,"0","0","52,456","5,652","0.96","-3,790","3,183","-2,440","-474","-7,822","25.15"
2021/10/22,"107,000","109,500","107,000","108,000",▲,"1,000","+0.93","84,924","9,190","0.96","-7,900","-16,411","29,271","16,469","3,789","25.16"
2021/10/21,"107,500","109,000","106,500","107,000",▼,"-1,000","-0.93","108,028","11,570","0.97","23,713","-19,118","3,366","-13,171","8,571","25.05"
2021/10/20,"108,000","109,500","107,500","108,000",▲,"500","+0.47","65,594","7,122","0.97","-17,404","794","16,357","-917","16,673","25.03"
2021/10/19,"107,500","109,500","107,000","107,500", ,"0","0","76,593","8,248","0.97","12,335","-27,881","13,670","20,097","9,304","24.97"
2021/10/18,"108,000","108,000","105,500","107,500",▲,"500","+0.47","62,795","6,721","0.97","9,466","-21,321","13,020","-2,180","10,612","24.92"
2021/10/15,"107,500","108,500","107,000","107,000", ,"0","0","41,379","4,455","0.98","1,916","-5,661","7,620","6,302","-6,087","24.87"
2021/10/14,"107,500","109,000","106,500","107,000",▲,"500","+0.47","62,918","6,775","1.04","-2,727","-1,466","4,233","12,483","5,552","24.84"
2021/10/13,"101,000","107,000","101,000","106,500",▲,"4,000","+3.90","89,568","9,440","1.03","-42,981","-9,819","52,859","8,827","43,487","24.82"
2021/10/12,"105,000","105,500","101,500","102,500",▼,"-3,000","-2.84","88,204","9,024","1.05","29,366","-26,631","-2,952","-11,097","-2,659","24.62"
2021/10/08,"105,500","106,000","104,000","105,500",▲,"1,000","+0.96","72,048","7,548","1.09","-3,198","-12,268","15,720","-8,126","15,384","24.63"
2021/10/07,"101,000","105,000","101,000","104,500",▲,"3,500","+3.47","90,444","9,334","1.10","-18,986","6,873","12,051","4,627","10,224","24.57"
2021/10/06,"103,000","104,500","101,000","101,000",▼,"-2,500","-2.42","109,825","11,238","1.09","3,393","-8,503","4,861","8,949","-2,205","24.53"
2021/10/05,"104,000","105,000","102,500","103,500",▼,"-2,500","-2.36","111,377","11,533","1.08","604","7,785","-8,324","249","19,561","24.51"
2021/10/01,"107,500","108,500","105,500","106,000",▼,"-4,000","-3.64","106,107","11,284","1.11","41,151","-31,732","-3,372","-8,282","-12,843","24.54"
2021/09/30,"109,000","111,000","107,500","110,000",▲,"500","+0.46","141,727","15,426","1.04","21,372","-32,337","13,698","-8,042","3,757","24.55"
2021/09/29,"112,000","113,000","109,000","109,500",▼,"-5,000","-4.37","151,363","16,657","1.04","81,762","-78,782","-4,375","-4,226","-6,602","24.50"
2021/09/28,"115,500","116,500","113,500","114,500",▼,"-1,000","-0.87","90,023","10,292","1.03","18,417","-37,696","19,210","18,166","24,324","24.52"
2021/09/27,"116,000","117,000","115,500","115,500",▼,"-1,000","-0.86","56,492","6,561","1.02","16,847","-17,094","132","11,876","-4,222","24.45"
2021/09/24,"117,500","118,000","116,000","116,500",▼,"-1,000","-0.85","46,001","5,375","1.04","7,934","-1,731","1,665","12,327","-8,378","24.44"
2021/09/23,"117,000","118,000","115,500","117,500",▼,"-500","-0.42","79,612","9,293","1.05","-838","-10,970","9,228","-8,508","17,860","24.44"
2021/09/17,"116,500","119,000","116,000","118,000",▲,"1,000","+0.85","67,671","7,978","1.02","-8,360","2,364","5,972","696","11,530","24.40"
2021/09/16,"119,500","120,000","116,500","117,000",▼,"-2,500","-2.09","104,567","12,280","1.03","33,505","-19,960","-27,875","-2,010","-6,632","24.38"
2021/09/15,"119,000","120,500","118,500","119,500",▼,"-500","-0.42","46,916","5,605","1.03","8,691","-3,175","-5,084","-1,996","4,236","24.49"
2021/09/14,"121,500","123,000","119,500","120,000",▼,"-1,500","-1.23","84,261","10,248","1.03","-2,244","7,377","-4,546","3,927","1,505","24.51"
2021/09/13,"120,500","122,500","119,500","121,500", ,"0","0","94,952","11,541","1.04","-19,956","37,459","-17,075","-5,093","-17,543","24.52"
2021/09/10,"117,500","121,500","117,000","121,500",▲,"4,000","+3.40","100,121","12,024","1.03","-43,151","20,611","35,210","22,517","28,182","24.59"
2021/09/09,"119,500","121,000","116,500","117,500",▼,"-3,500","-2.89","151,238","17,844","1.07","39,724","-4,187","-39,859","-12,636","-32,090","24.45"
2021/09/08,"118,000","122,000","118,000","121,000",▲,"1,500","+1.26","161,633","19,577","1.07","-55,727","-5,295","60,503","16,375","63,885","24.61"
2021/09/07,"119,500","120,500","118,500","119,500",▲,"500","+0.42","49,272","5,879","1.07","-1,380","-10,543","11,808","-5,511","3,592","24.38"
2021/09/06,"120,000","120,500","118,500","119,000",▼,"-2,000","-1.65","55,336","6,597","1.08","5,976","-13,375","10,017","-4,766","875","24.33"
2021/09/03,"120,000","121,500","119,500","121,000",▲,"1,500","+1.26","82,176","9,901","1.11","-22,833","2,624","24,491","4,589","23,625","24.30"
2021/09/02,"118,000","121,000","118,000","119,500",▲,"1,500","+1.27","95,161","11,374","1.13","-48,822","8,019","37,971","8,556","34,557","24.21"
2021/09/01,"117,500","119,000","117,000","118,000", ,"0","0","58,417","6,896","1.12","-4,235","-15,741","20,379","13,637","17,929","24.06"
2021/08/31,"116,500","118,500","115,000","118,000",▲,"1,000","+0.85","51,787","6,055","1.11","-15,206","8,731","-4,844","1,796","9,024","23.99"
2021/08/30,"119,500","120,000","116,500","117,000",▼,"-1,500","-1.27","62,390","7,339","1.12","18,254","-15,757","-2,186","-2,151","-2,124","24.00"
2021/08/27,"116,500","119,000","116,000","118,500",▲,"2,000","+1.72","45,090","5,317","1.11","-10,064","-2,321","10,577","-1,200","13,454","24.01"
2021/08/26,"118,500","120,000","116,500","116,500",▼,"-2,500","-2.10","47,233","5,551","1.12","4,913","-10,660","-4,721","-157","-4,184","23.97"
